"","RX_ProgID","ItemMeta1","ServiceType","ProgName","ProgDescription","ProgCounts"
"538",538,"Public Works","Governance","City Facility ADA Building Compliance","Inspect city buildings for Americans with Disabilities  ADA  compliance  making renovations and updates as necessary for compliance",3
"539",539,"Public Works","Governance","City Facility Fire Alarm Inspection and Maintenance","Fire alarm inspection  maintenance  and repairs",3
"540",540,"Public Works","Governance","City Facility Pest Control","Pest control preventative maintenance",4
"541",541,"Public Works","Governance","City Facility Repairs","Complete all types of maintenance and repairs at city facilities",6
"542",542,"Public Works","Governance","City Hall Elevator Inspection and Maintenance","Elevator inspection  maintenance  and repairs to ensure proper operation and safety",5
"543",543,"Public Works","Community","City County Parking Lot Maintenance","Asphalt maintenance and  repair of cracks in city parking lots",3
"544",544,"Public Works","Community","Construction Project Management and Observation","Provide in house construction management and inspections for transportation  drainage  water  and wastewater projects",4
"545",545,"Public Works","Community","Equipment Repair and Maintenance","Repair and maintenance of specialized equipment",7
"546",546,"Public Works","Community","Crack and Asphalt Repairs","Repair cracks that don t meet criteria for crack sealing  along with any other asphalt defects",7
"547",547,"Public Works","Community","Crack Sealing Maintenance","Perform crack sealing on all paved roads",6
"548",548,"Public Works","Community","Curb Maintenance","Paint all identified yellow curbs on medians",2
"549",549,"Public Works","Governance","Custodial Cleaning Services","Clean  sanitize and restock products at city facilities",7
"550",550,"Public Works","Community","Customer Inquiries and Assistance","Provide customer service via phone  email  and in person",6
"551",551,"Public Works","Community","Drainage Master Planning","Manage the development of drainage master plans",2
"552",552,"Public Works","Governance","Elevator Service Log","Provide for time and labor in support for maintenance agreements with various elevator companies",2
"553",553,"Public Works","Governance","Emergency Building Repairs","Respond to and repair various emergency non programmed building repairs",2
"554",554,"Public Works","Community","Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications",5
"555",555,"Public Works","Community","Geographic Information Systems Application Development and Maintenance","Develop and maintain Geographic Information Systems  GIS  applications for internal and public use",11
"556",556,"Public Works","Community","Graffiti Removal","Removes graffiti in the right of way",5
"557",557,"Public Works","Community","Guard Rail Repairs","Repair damaged guard rails on city right of way",3
"558",558,"Public Works","Governance","Interdepartmental Engineering Assistance and Support","Assist other city departments with engineering issues",5
"559",559,"Public Works","Community","Land Acquisition Management","Review land appraisals  property title records  searches  and tax records for land acquisitions",3
"560",560,"Public Works","Community","Line Location Services","Locate of underground utilities",3
"561",561,"Public Works","Community","Map and Graphics Plotting","Maintain hardware for plotting of hard copy maps and other graphics",2
"562",562,"Public Works","Community","Mosquito Control","Mosquito abatement for standing water",2
"563",563,"Public Works","Community","Pavement Assessments","Conduct assessments of road conditions",4
"564",564,"Public Works","Community","Pot Hole Repairs","Repair potholes on all paved roads",3
"565",565,"Public Works","Community","Railway Crossing Maintenance","Railway crossing maintenance roadway and railways crossings align for the safety of vehicular traffic",1
"566",566,"Public Works","Community","School Zone Flasher Maintenance","Conduct routine equipment maintenance  programming  and verification in school zones",3
"567",567,"Public Works","Community","Sidewalk Repair","Repair all damaged sidewalks within the right of way",4
"568",568,"Public Works","Community","Snow Removal","Remove snow and ice with plows and salt spreaders",7
"569",569,"Public Works","Community","Street Light Operations and Maintenance","Perform street light maintenance  order needed equipment  and conduct repairs as needed",5
"570",570,"Public Works","Community","Street Markings and Striping","Schedule roadway markings and striping",6
"571",571,"Public Works","Community","Street Sweeping","Operate street sweeper to remove debris and litter from residential and main arterial roads",8
"572",572,"Public Works","Community","Traffic Data Collection","Schedule manual traffic counts or automated video counts as needed to perform traffic studies and roadway analysis",3
"573",573,"Public Works","Community","Traffic Engineering Studies","Conduct speed  volume  traffic signal  and stop sign warrant studies as requested",5
"574",574,"Public Works","Community","Traffic Monitoring","Utilize traffic system detection to monitor traffic flows on arterials",4
"575",575,"Public Works","Community","Traffic Sign Management  Installation and Maintenance","Schedule work orders for missing  damaged  and non compliant signing  Conduct routine maintenance  and perform blanket neighborhood sign upgrades",6
"576",576,"Public Works","Community","Traffic Signal Emergency Vehicle Pre Emption Maintenance","Repair and replace equipment as needed  and update priority coding at signal locations",2
"577",577,"Public Works","Community","Traffic Signal Timing","Perform corridor analysis for traffic signal timing updates  Conduct routine timing adjustments",4
"578",578,"Public Works","Community","Weed and Litter Maintenance","Remove weeds and litter from landscaped medians and right of ways",3
"579",579,"Public Works","Community","Work Zone Traffic Control","Implement traffic control plans for traffic crew maintenance operations  Review and adjust plans as traffic conditions dictate",3
"580",580,"Senior Services","Community","Education  Arts and Cultural Activity Trips","Transportation and admission to plays  museums  and other arts and cultural activities",1
"581",581,"Senior Services","Community","Exercise Classes","Provide exercise classes",2
"582",582,"Senior Services","Community","Senior Health Services","Provide Flu shots  blood pressure screening and hearing checks",2
"583",583,"Senior Services","Community","Senior Center Maintenance","Provide an accessible site with furnishings and equipment that support activities  services  meals  transportation and socialization",2
"584",584,"Senior Services","Community","Senior Center Membership Management","Manage membership for senior center programs and services",2
"585",585,"Senior Services","Community","Senior Support Groups Administration","Provide access to various senior related support groups",1
"586",586,"Senior Services","Community","Senior Transportation Services","Transportation services made available for seniors",9
"587",587,"Senior Services","Community","Space and Facility Rental Management","Provide space for support groups and services",3
"588",588,"Senior Services","Community","Senior Wellness Program","Provide wellness programs",1
"589",589,"Social Services","Community","Access and Child Maltreatment Reports","Receive and record maltreatment reports from mandated reporters and the community",2
"590",590,"Social Services","Community","Administrative Hearings","Administrative hearings for unemployment or benefits determination",3
"591",591,"Social Services","Community","Admissions","Screening of referral for admissions with the Interdisciplinary team",1
"592",592,"Social Services","Community","Adult Mental Health Case Management","Support those in the community who are experiencing a serious and persistent mental illness",2
"593",593,"Social Services","Community","Advertising and Marketing","Reaching out to surrounding areas through appropriate correspondence  website  site tours  and  social  media",1
"594",594,"Social Services","Community","Aid to the Needy Disabled","Interview clients  process applications  manage cases",3
"595",595,"Social Services","Community","Child Care Provider Certification","Screening and processing of application for individuals requesting to become certified child care providers",1
"596",596,"Social Services","Community","Child Protective  Services   CPS","Implementation of all court orders pertaining to child abuse and neglect",2
"597",597,"Social Services","Community","Child Support Case Management","Case management to ensure compliance with court ordered conditions",3
"598",598,"Social Services","Community","Child Welfare Assessments and Investigations","Child welfare assessments and investigations of abuse and neglect",3
"599",599,"Social Services","Community","Refugee and Immigration","Resettlement and promote refugee self sufficiency",1
"600",600,"Social Services","Community","Community Meal Sites","Sites serving wholesome  hot meals to reduce hunger and food insecurity",1
"601",601,"Social Services","Community","Community  Services  Block Grant","Funds to alleviate the causes and conditions of poverty",3
"602",602,"Social Services","Community","Foster Home Program Administration","Reimbursement to foster parents for children in their care",2
"603",603,"Social Services","Community","Medicaid","Process applications  manage case and change report forms",2
"604",604,"Social Services","Community","Substance Abuse  Services","Support services  for substance abuse",1
"605",605,"Social Services","Community","Homeless Housing Coordination","Provide housing support  collaborate with community partners to evaluate needs and develop housing resources",1
"606",606,"Social Services","Community","Temporary Assistance for Needy Families","Helping families that need assistance for various social services",2
"607",607,"Treasurer's Office","Governance","Tax Entity Distributions and Budget Tracking","Keep track of all tax entities budgets for distributions",1
"608",608,"Treasurer's Office","Governance","Delinquent Personal Property Tax Administration","Maintain database for delinquent personal property taxes  and issue bills for delinquent years",3
"609",609,"Treasurer's Office","Governance","Delinquent Real Estate Tax Administration","Maintain database for delinquent real estate taxes  and issue bills for delinquent years",2
"610",610,"Waste Management","Community","Abandoned Household Hazardous Waste Disposal Services","Removal of abandoned household hazardous waste found within city limits",1
"611",611,"Waste Management","Community","Electronics  Appliance and Metals Recycling Collection","Drop off facility for electronic recycling and cost of Freon removal and haul to and from metal recycling facility",1
"612",612,"Waste Management","Community","Household Hazardous Waste Disposal","Disposal of residential hazardous waste",5
"613",613,"Waste Management","Community","Tire Disposal Collection","Drop off facility for tire disposal",1
"614",614,"Waste Management","Community","Recycling Center Operations and Maintenance","Staff  operate and maintain the recycling center",1
"615",615,"Waste Management","Community","Roadside Litter & Illegal Dumpsite Removal","Roadside litter and open space dumpsite removals",1
"616",616,"Waste Management","Community","Trash Collection","Collect  trash  from commercial and residential customers",2
"617",617,"Waste Management","Community","Debris Removal","Remove  trash  and various debris to facilitate safe travel and aesthetics within public rights of way",4
"618",618,"Waste Management","Community","Green Waste Collection","Provide green waste management services to commercial and residential customers",2
"619",619,"Waste Management","Community","Dumpster Service","Deliver  pick up and empty dumpsters",1
"620",620,"Waste Management","Community","Recycle Collection","Collect  recyclables  from commercial and residential customers",3
"621",621,"Waste Management","Community","Landfill Compliance Monitoring","Closure  post closure care Â landfill permitting and amendments",3
"622",622,"Waste Management","Community","Methane and Leachate Monitoring","Ground water and gas monitoring",1
"623",623,"Water Utility","Community","Annual Water Quality Report","Create report with the most recent water quality data representing the type of water delivered to the city s customers",2
"624",624,"Water Utility","Community","Asset Management   Utilities Infrastructure and Equipment","Review of the analysis of asset condition and risk assessment for water  wastewater and recycled water infrastructure and equipment",6
"625",625,"Water Utility","Community","Bulk Fill Water Customer Management","Setup new customer accounts and bill current customers receiving potable water from the bulk fill water station",1
"626",626,"Water Utility","Community","Chemical Usage and Treatment","Chemicals are used to treat water to meet regulatory requirements prior to delivery to the city s customers",1
"627",627,"Water Utility","Community","Construction Water Hydrant Meter Rentals","Issue hydrant meter for rental for construction purposes",1
"628",628,"Water Utility","Community","Customer Inquiries and Assistance","Provide customer service via phone  email  and in person",3
"629",629,"Water Utility","Community","Delinquent Utilities Account Collection Management","Review delinquent aged water and wastewater accounts   Apply liens as appropriate",2
"630",630,"Water Utility","Community","Dewatering and Bio solids Management","Removal of water from solids prior to hauling solids to the landfill   Samples are taken periodically to ensure permit compliance",1
"631",631,"Water Utility","Community","Disinfection","Sodium hypochlorite added to the water to ensure that it is safe for human consumption and to meet regulatory requirements",2
"632",632,"Water Utility","Community","Elimination and Spill Response","Establish a plan and communication protocol to minimize the impact of a spill as well as report the spill to all appropriate agencies",2
"633",633,"Water Utility","Community","Fats  Oils and Grease  FOG  Control Program","Identify and limit the amount of fats  oils and grease introduced into the wastewater collection system",2
"634",634,"Water Utility","Community","Fire Hydrant Maintenance and Repairs","Fire hydrants are inspected and tested to verify that they are working properly   Repairs are performed as needed",3
"635",635,"Water Utility","Community","Groundwater Monitoring and Management","Actively manage the city s groundwater resources to meet current and future demands",1
"636",636,"Water Utility","Community","Laboratory Instrumentation and Maintenance","Periodic tests performed on laboratory equipment to ensure proper operation",1
"637",637,"Water Utility","Community","Lift Station Operation and Maintenance","Perform inspection and maintenance to ensure that all lift stations are working properly",1
"638",638,"Water Utility","Community","Line Location Services","Locate underground utilities",2
"639",639,"Water Utility","Community","Manhole Inspections and Repairs","Periodic inspection of manholes to identify issues requiring repair",2
"640",640,"Water Utility","Community","Membrane Maintenance","Periodic cleaning and inspection of membrane cartridges to identify needed repairs and replacement",1
"641",641,"Water Utility","Community","Water Meter Installations and Change Outs","Install water meters as new customers move in  repair broken meters as needed",2
"642",642,"Water Utility","Community","Pumping Facility Repairs  and Maintenance","Maintain infrastructure and equipment for the delivery of water to the city s customers",2
"643",643,"Water Utility","Community","Recycled Water Permits","Maintain permit requirements for all state permits necessary for irrigation",1
"644",644,"Water Utility","Community","Recycled Water Pump Station Operation","Actively manage the recycled water system for irrigation",1
"645",645,"Water Utility","Community","Sanitary Sewer Overflow  SSO  Maintenance","Identify hot spots in the system and maintain them on a regular basis to prevent SSO from reoccurring",1
"646",646,"Water Utility","Community","Screening   Grit Removal","Systems utilized to remove damaging material prior to the treatment processes to preserve the life of treatment equipment",1
"647",647,"Water Utility","Community","Utilities Facility Security","Physical security of water facilities",2
"648",648,"Water Utility","Community","Utilities Rate Studies Management","Conduct rate study to determine whether water  wastewater and recycled water rates are adequate to meet operation and capital expenditures",2
"649",649,"Water Utility","Community","Utilities Systems Supervisory Control and Data Acquisition  SCADA  Management","Observe  control and respond to changes and emergencies in water  wastewater and recycled water systems",2
"650",650,"Water Utility","Community","Utilities Website Management","Manage the utilities  website to ensure that information is adequate and up to date",2
"651",651,"Water Utility","Community","Utility Billing Customer Inquiries and Assistance","Assist and educate customers with questions on their account  setup payment arrangements payment plan",2
"652",652,"Water Utility","Community","Utility Customer Account Billing","Bill all water and wastewater utility accounts  Maintain or update billing records as needed",3
"653",653,"Water Utility","Community","Valve Operation  Maintenance and Repair","Annual operation of valves to ensure they are working properly",1
"654",654,"Water Utility","Community","Emergency Repair Response","Creating a plan and establishing communication protocol to ensure continued wastewater collection and treatment and maintain regulatory requirements",1
"655",655,"Water Utility","Community","Water Audits","Inspections at a home or business  checks pressure  looks for leaks  changes shower heads and aerators and give water conservation tips",2
"656",656,"Water Utility","Community","Water Delivery System Operations","Well  tanks  booster pumps and appurtenances associated with the delivery of drinking water",1
"657",657,"Water Utility","Community","Water Meter Reading","Read water meters accurately for monthly billing and rotation of meter reading schedule",2
"658",658,"Water Utility","Community","Water Permitting","Supervise new applications and re applications for water permits",2
"659",659,"Water Utility","Community","Water Production Permit Management","Actively manage well sites to verify that water production is within the permit parameters of the Office of the State Engineer  OSE",1
"660",660,"Water Utility","Community","Water Service Line Replacements","Manage the City s water service line replacement projects",2
"661",661,"Water Utility","Community","Water Supply Management and Planning","Manage existing water resources and evaluate potential future water sources for future demands",1
"662",662,"Water Utility","Community","Water System Flushing","Periodic directional flushing to maintain and clean the water distribution system",1
"663",663,"Water Utility","Community","Water System On Call Support","On call personnel are ready to respond 24 7 to irregular operations or emergencies in the water system",2
"664",664,"Water Utility","Community","Water Tank Inspection and Rehabilitation","Schedule inspection of tanks  and  perform rehabilitation and repairs as necessary",2
"665",665,"Water Utility","Community","Water  Wastewater and Recycled Water Sampling","Samples are collected to verify water quality and ensure that treatment is meeting regulatory requirements",1
"666",666,"Water Utility","Community","Well Rehabilitation & Repair","Rehabilitation and repair of the wells extends the life of the equipment used for pumping drinking water",1
"667",667,"Water Utility","Community","Well Sites and Arsenic Treatment Facilities Maintenance","Maintain facilities and grounds to support a safe and aesthetically pleasing environment for the operations staff and regulatory agencies",1
"668",668,"Zoo","Community","Animal Husbandry","Provides the vet care and husbandry for the animals",1
"669",669,"Zoo","Community","Zoo Exhibits & Grounds Maintenance","Maintain the buildings and grounds",1
"670",670,"Zoo","Community","Ticketing","Manage daily admission at ticket counters",1
"671",671,"Zoo","Community","Accreditation & Affiliations","Monitor and maintain accreditation  affiliations  and memberships",1
"672",672,"Zoo","Community","Animal Behavioral Enrichment","Provide stimulation and quality of life to wild animals held in captivity",1
"673",673,"Zoo","Community","Animal Education Classes and Outreach Programs","Provide educational classes  outreach programs  tours  etc",1
"674",674,"Zoo","Community","Concessions","Provide snacks and drinks to guests",1
"675",675,"Zoo","Community","Gift Shop and Merchandise Sales","Sale of merchandise in the gift shop",1
"676",676,"Zoo","Community","Graphics and Signage","Educational information  informational signage  directional signage",1
"677",677,"Zoo","Community","Volunteer Programs","Provide volunteering opportunities",1
"678",678,"Zoo","Community","Zoo Grounds Maintenance","Care of all facilities within the zoo",1
"679",679,"Zoo","Community","Zoo Marketing and Advertising","Marketing the zoo  advertising   partnerships  branding  social media",1
